title="2D heat conduction problem"
variables="x","y","T"
0,2.07,0
0,2.08,0
0,2.09,0
0,2.1,0
0,2.11,0
0,2.12,0
0,2.13,0
0,2.14,0
0,2.15,0
0,2.16,0
0,2.17,0
0,2.18,0
0,2.19,0
0,2.2,0
0,2.21,0
0,2.22,0
0,2.23,0
0,2.24,0
0,2.25,0
0,2.26,0
0,2.27,0
0,2.28,0
0,2.29,0
0,2.3,0
0,2.31,0
0,2.32,0
0,2.33,0
0,2.34,0
0,2.35,0
0,2.36,0
0,2.37,0
0,2.38,0
0,2.39,0
0,2.4,0
0,2.41,0
0,2.42,0
0,2.43,0
0,2.44,0
0,2.45,0
0,2.46,0
0,2.47,0
0,2.48,0
0,2.49,0
0,2.5,0
0,2.51,0
0,2.52,0
0,2.53,0
0,2.54,0
0,2.55,0
0,2.56,0
0,2.57,0
0,2.58,0
0,2.59,0
0,2.6,0
0,2.61,0
0,2.62,0
0,2.63,0
0,2.64,0
0,2.65,0
0,2.66,0
0,2.67,0
0,2.68,0
0,2.69,0
0,2.7,0
0,2.71,0
0,2.72,0
0,2.73,0
0,2.74,0
0,2.75,0
0,2.76,0
0,2.77,0
0,2.78,0
0,2.79,0
0,2.8,0
0,2.81,0
0,2.82,0
0,2.83,0
0,2.84,0
0,2.85,0
0,2.86,0
0,2.87,0
0,2.88,0
0,2.89,0
0,2.9,0
0,2.91,0
0,2.92,0
0,2.93,0
0,2.94,0
0,2.95,0
0,2.96,0
0,2.97,0
0,2.98,0
0,2.99,0
0,3,0
0,3.01,0
0,3.02,0
0,3.03,0
0,3.04,0
0,3.05,0
0,3.06,0
0,3.07,0
0,3.08,0
0,3.09,0
0,3.1,0
0,3.11,0
0,3.12,0
0,3.13,0
0,3.14,0
0.01,0,0
0.01,0.01,0.0081198
0.01,0.02,0.016239
0.01,0.03,0.024356
0.01,0.04,0.032471
0.01,0.05,0.040583
0.01,0.06,0.048691
0.01,0.07,0.056793
0.01,0.08,0.064891
0.01,0.09,0.072981
0.01,0.1,0.081065
0.01,0.11,0.08914
0.01,0.12,0.097206
0.01,0.13,0.10526
0.01,0.14,0.11331
0.01,0.15,0.12134
0.01,0.16,0.12937
0.01,0.17,0.13738
0.01,0.18,0.14537
0.01,0.19,0.15335
0.01,0.2,0.16132
0.01,0.21,0.16927
0.01,0.22,0.1772
0.01,0.23,0.18512
0.01,0.24,0.19301
0.01,0.25,0.20089
0.01,0.26,0.20875
0.01,0.27,0.21659
0.01,0.28,0.2244
0.01,0.29,0.23219
0.01,0.3,0.23996
0.01,0.31,0.24771
0.01,0.32,0.25543
0.01,0.33,0.26312
0.01,0.34,0.27079
0.01,0.35,0.27843
0.01,0.36,0.28605
0.01,0.37,0.29363
0.01,0.38,0.30119
0.01,0.39,0.30871
0.01,0.4,0.31621
0.01,0.41,0.32367
0.01,0.42,0.3311
0.01,0.43,0.3385
0.01,0.44,0.34586
0.01,0.45,0.35319
0.01,0.46,0.36049
0.01,0.47,0.36774
0.01,0.48,0.37496
0.01,0.49,0.38215
0.01,0.5,0.38929
0.01,0.51,0.3964
0.01,0.52,0.40347
0.01,0.53,0.41049
0.01,0.54,0.41748
0.01,0.55,0.42442
0.01,0.56,0.43132
0.01,0.57,0.43818
0.01,0.58,0.44499
0.01,0.59,0.45176
0.01,0.6,0.45849
0.01,0.61,0.46517
0.01,0.62,0.4718
0.01,0.63,0.47838
0.01,0.64,0.48492
0.01,0.65,0.49141
0.01,0.66,0.49785
0.01,0.67,0.50424
0.01,0.68,0.51058
0.01,0.69,0.51687
0.01,0.7,0.5231
0.01,0.71,0.52929
0.01,0.72,0.53542
0.01,0.73,0.5415
0.01,0.74,0.54752
0.01,0.75,0.55349
0.01,0.76,0.5594
0.01,0.77,0.56526
0.01,0.78,0.57106
0.01,0.79,0.57681
0.01,0.8,0.58249
0.01,0.81,0.58812
0.01,0.82,0.59369
0.01,0.83,0.5992
0.01,0.84,0.60465
0.01,0.85,0.61004
0.01,0.86,0.61537
0.01,0.87,0.62063
0.01,0.88,0.62584
0.01,0.89,0.63098
0.01,0.9,0.63606
0.01,0.91,0.64108
0.01,0.92,0.64603
0.01,0.93,0.65091
0.01,0.94,0.65574
0.01,0.95,0.66049
0.01,0.96,0.66518
0.01,0.97,0.66981
0.01,0.98,0.67436
0.01,0.99,0.67885
0.01,1,0.68327
0.01,1.01,0.68763
0.01,1.02,0.69191
0.01,1.03,0.69613
0.01,1.04,0.70027
0.01,1.05,0.70435
0.01,1.06,0.70835
0.01,1.07,0.71229
0.01,1.08,0.71615
0.01,1.09,0.71994
0.01,1.1,0.72366
0.01,1.11,0.72731
0.01,1.12,0.73088
0.01,1.13,0.73438
0.01,1.14,0.73781
0.01,1.15,0.74116
0.01,1.16,0.74444
0.01,1.17,0.74765
0.01,1.18,0.75078
0.01,1.19,0.75383
0.01,1.2,0.75681
0.01,1.21,0.75972
0.01,1.22,0.76255
0.01,1.23,0.7653
0.01,1.24,0.76797
0.01,1.25,0.77057
0.01,1.26,0.7731
0.01,1.27,0.77554
0.01,1.28,0.77791
0.01,1.29,0.7802
0.01,1.3,0.78241
0.01,1.31,0.78454
0.01,1.32,0.78659
0.01,1.33,0.78857
0.01,1.34,0.79047
0.01,1.35,0.79229
0.01,1.36,0.79402
0.01,1.37,0.79568
0.01,1.38,0.79726
0.01,1.39,0.79876
0.01,1.4,0.80018
0.01,1.41,0.80152
0.01,1.42,0.80278
0.01,1.43,0.80396
0.01,1.44,0.80506
0.01,1.45,0.80608
0.01,1.46,0.80702
0.01,1.47,0.80788
0.01,1.48,0.80865
0.01,1.49,0.80935
0.01,1.5,0.80996
0.01,1.51,0.8105
0.01,1.52,0.81095
0.01,1.53,0.81132
0.01,1.54,0.81161
0.01,1.55,0.81182
0.01,1.56,0.81195
0.01,1.57,0.812
0.01,1.58,0.81196
0.01,1.59,0.81185
0.01,1.6,0.81165
0.01,1.61,0.81137
0.01,1.62,0.81102
0.01,1.63,0.81058
0.01,1.64,0.81005
0.01,1.65,0.80945
0.01,1.66,0.80877
0.01,1.67,0.80801
0.01,1.68,0.80716
0.01,1.69,0.80624
0.01,1.7,0.80523
0.01,1.71,0.80414
0.01,1.72,0.80298
0.01,1.73,0.80173
0.01,1.74,0.8004
0.01,1.75,0.79899
0.01,1.76,0.79751
0.01,1.77,0.79594
0.01,1.78,0.79429
0.01,1.79,0.79257
0.01,1.8,0.79076
0.01,1.81,0.78888
0.01,1.82,0.78691
0.01,1.83,0.78487
0.01,1.84,0.78275
0.01,1.85,0.78055
0.01,1.86,0.77828
0.01,1.87,0.77592
0.01,1.88,0.77349
0.01,1.89,0.77098
0.01,1.9,0.76839
0.01,1.91,0.76573
0.01,1.92,0.76299
0.01,1.93,0.76017
0.01,1.94,0.75728
0.01,1.95,0.75431
0.01,1.96,0.75127
0.01,1.97,0.74815
0.01,1.98,0.74496
0.01,1.99,0.74169
0.01,2,0.73835
0.01,2.01,0.73493
0.01,2.02,0.73144
0.01,2.03,0.72788
0.01,2.04,0.72424
0.01,2.05,0.72054
0.01,2.06,0.71676
0.01,2.07,0.71291
0.01,2.08,0.70898
0.01,2.09,0.70499
0.01,2.1,0.70092
0.01,2.11,0.69679
0.01,2.12,0.69259
0.01,2.13,0.68831
0.01,2.14,0.68397
0.01,2.15,0.67956
0.01,2.16,0.67508
0.01,2.17,0.67054
0.01,2.18,0.66592
0.01,2.19,0.66124
0.01,2.2,0.6565
0.01,2.21,0.65169
0.01,2.22,0.64681
0.01,2.23,0.64187
0.01,2.24,0.63686
0.01,2.25,0.63179
0.01,2.26,0.62666
0.01,2.27,0.62147
0.01,2.28,0.61621
0.01,2.29,0.61089
0.01,2.3,0.60551
0.01,2.31,0.60007
0.01,2.32,0.59457
0.01,2.33,0.58901
0.01,2.34,0.58339
0.01,2.35,0.57772
0.01,2.36,0.57198
0.01,2.37,0.56619
0.01,2.38,0.56034
0.01,2.39,0.55443
0.01,2.4,0.54847
0.01,2.41,0.54246
0.01,2.42,0.53639
0.01,2.43,0.53027
0.01,2.44,0.52409
0.01,2.45,0.51786
0.01,2.46,0.51158
0.01,2.47,0.50525
0.01,2.48,0.49887
0.01,2.49,0.49244
0.01,2.5,0.48596
0.01,2.51,0.47943
0.01,2.52,0.47285
0.01,2.53,0.46623
0.01,2.54,0.45956
0.01,2.55,0.45284
0.01,2.56,0.44608
0.01,2.57,0.43927
0.01,2.58,0.43242
0.01,2.59,0.42552
0.01,2.6,0.41859
0.01,2.61,0.41161
0.01,2.62,0.40459
0.01,2.63,0.39753
0.01,2.64,0.39043
0.01,2.65,0.38329
0.01,2.66,0.37611
0.01,2.67,0.3689
0.01,2.68,0.36164
0.01,2.69,0.35436
0.01,2.7,0.34703
0.01,2.71,0.33967
0.01,2.72,0.33228
0.01,2.73,0.32486
0.01,2.74,0.3174
0.01,2.75,0.30991
0.01,2.76,0.30239
0.01,2.77,0.29484
0.01,2.78,0.28726
0.01,2.79,0.27965
0.01,2.8,0.27201
0.01,2.81,0.26435
0.01,2.82,0.25665
0.01,2.83,0.24894
0.01,2.84,0.2412
0.01,2.85,0.23343
0.01,2.86,0.22564
0.01,2.87,0.21783
0.01,2.88,0.21
0.01,2.89,0.20214
0.01,2.9,0.19427
0.01,2.91,0.18638
0.01,2.92,0.17846
0.01,2.93,0.17053
0.01,2.94,0.16259
0.01,2.95,0.15462
0.01,2.96,0.14664
0.01,2.97,0.13865
0.01,2.98,0.13064
0.01,2.99,0.12262
0.01,3,0.11459
0.01,3.01,0.10654
0.01,3.02,0.09849
0.01,3.03,0.090425
0.01,3.04,0.082351
0.01,3.05,0.074269
0.01,3.06,0.06618
0.01,3.07,0.058083
0.01,3.08,0.049982
0.01,3.09,0.041875
0.01,3.1,0.033763
0.01,3.11,0.025649
0.01,3.12,0.017532
0.01,3.13,0.009413
0.01,3.14,0.0012932
0.02,0,0
0.02,0.01,0.016239
0.02,0.02,0.032476
0.02,0.03,0.04871
0.02,0.04,0.064939
0.02,0.05,0.081162
0.02,0.06,0.097376
0.02,0.07,0.11358
0.02,0.08,0.12977
0.02,0.09,0.14596
0.02,0.1,0.16212
0.02,0.11,0.17827
0.02,0.12,0.1944
0.02,0.13,0.21051
0.02,0.14,0.22661
0.02,0.15,0.24267
0.02,0.16,0.25872
0.02,0.17,0.27474
0.02,0.18,0.29073
0.02,0.19,0.30669
0.02,0.2,0.32262
0.02,0.21,0.33852
0.02,0.22,0.35439
0.02,0.23,0.37022
0.02,0.24,0.38601
0.02,0.25,0.40176
0.02,0.26,0.41748
0.02,0.27,0.43315
0.02,0.28,0.44878
0.02,0.29,0.46436
0.02,0.3,0.4799
0.02,0.31,0.49539
0.02,0.32,0.51083
0.02,0.33,0.52622
0.02,0.34,0.54155
0.02,0.35,0.55684
0.02,0.36,0.57206
0.02,0.37,0.58723
0.02,0.38,0.60234
0.02,0.39,0.61739
0.02,0.4,0.63238
0.02,0.41,0.64731
0.02,0.42,0.66217
0.02,0.43,0.67696
0.02,0.44,0.69169
0.02,0.45,0.70635
0.02,0.46,0.72093
0.02,0.47,0.73545
0.02,0.48,0.74989
0.02,0.49,0.76426
0.02,0.5,0.77855
0.02,0.51,0.79276
0.02,0.52,0.80689
0.02,0.53,0.82094
0.02,0.54,0.83491
0.02,0.55,0.8488
0.02,0.56,0.8626
0.02,0.57,0.87632
0.02,0.58,0.88994
0.02,0.59,0.90348
0.02,0.6,0.91693
0.02,0.61,0.93029
0.02,0.62,0.94355
0.02,0.63,0.95672
0.02,0.64,0.96979
0.02,0.65,0.98277
0.02,0.66,0.99565
0.02,0.67,1.0084
0.02,0.68,1.0211
0.02,0.69,1.0337
0.02,0.7,1.0462
0.02,0.71,1.0585
0.02,0.72,1.0708
0.02,0.73,1.0829
0.02,0.74,1.095
0.02,0.75,1.1069
0.02,0.76,1.1187
0.02,0.77,1.1305
0.02,0.78,1.1421
0.02,0.79,1.1536
0.02,0.8,1.1649
0.02,0.81,1.1762
0.02,0.82,1.1873
0.02,0.83,1.1983
0.02,0.84,1.2092
0.02,0.85,1.22
0.02,0.86,1.2307
0.02,0.87,1.2412
0.02,0.88,1.2516
0.02,0.89,1.2619
0.02,0.9,1.2721
0.02,0.91,1.2821
0.02,0.92,1.292
0.02,0.93,1.3018
0.02,0.94,1.3114
0.02,0.95,1.3209
0.02,0.96,1.3303
0.02,0.97,1.3395
0.02,0.98,1.3487
0.02,0.99,1.3576
0.02,1,1.3665
0.02,1.01,1.3752
0.02,1.02,1.3838
0.02,1.03,1.3922
0.02,1.04,1.4005
0.02,1.05,1.4086
0.02,1.06,1.4166
0.02,1.07,1.4245
0.02,1.08,1.4322
0.02,1.09,1.4398
0.02,1.1,1.4472
0.02,1.11,1.4545
0.02,1.12,1.4617
0.02,1.13,1.4687
0.02,1.14,1.4755
0.02,1.15,1.4823
0.02,1.16,1.4888
0.02,1.17,1.4952
0.02,1.18,1.5015
0.02,1.19,1.5076
0.02,1.2,1.5136
0.02,1.21,1.5194
0.02,1.22,1.525
0.02,1.23,1.5305
0.02,1.24,1.5359
0.02,1.25,1.5411
0.02,1.26,1.5461
0.02,1.27,1.551
0.02,1.28,1.5557
0.02,1.29,1.5603
0.02,1.3,1.5647
0.02,1.31,1.569
0.02,1.32,1.5731
0.02,1.33,1.5771
0.02,1.34,1.5809
0.02,1.35,1.5845
0.02,1.36,1.588
0.02,1.37,1.5913
0.02,1.38,1.5944
0.02,1.39,1.5974
0.02,1.4,1.6003
0.02,1.41,1.603
0.02,1.42,1.6055
0.02,1.43,1.6078
0.02,1.44,1.61
0.02,1.45,1.6121
0.02,1.46,1.614
0.02,1.47,1.6157
0.02,1.48,1.6172
0.02,1.49,1.6186
0.02,1.5,1.6198
0.02,1.51,1.6209
0.02,1.52,1.6218
0.02,1.53,1.6226
0.02,1.54,1.6231
0.02,1.55,1.6236
0.02,1.56,1.6238
0.02,1.57,1.6239
0.02,1.58,1.6238
0.02,1.59,1.6236
0.02,1.6,1.6232
0.02,1.61,1.6227
0.02,1.62,1.6219
0.02,1.63,1.6211
0.02,1.64,1.62
0.02,1.65,1.6188
0.02,1.66,1.6175
0.02,1.67,1.6159
0.02,1.68,1.6142
0.02,1.69,1.6124
0.02,1.7,1.6104
0.02,1.71,1.6082
0.02,1.72,1.6059
0.02,1.73,1.6034
0.02,1.74,1.6007
0.02,1.75,1.5979
0.02,1.76,1.5949
0.02,1.77,1.5918
0.02,1.78,1.5885
0.02,1.79,1.5851
0.02,1.8,1.5814
0.02,1.81,1.5777
0.02,1.82,1.5738
0.02,1.83,1.5697
0.02,1.84,1.5654
0.02,1.85,1.561
0.02,1.86,1.5565
0.02,1.87,1.5518
0.02,1.88,1.5469
0.02,1.89,1.5419
0.02,1.9,1.5367
0.02,1.91,1.5314
0.02,1.92,1.5259
0.02,1.93,1.5203
0.02,1.94,1.5145
0.02,1.95,1.5086
0.02,1.96,1.5025
0.02,1.97,1.4962
0.02,1.98,1.4898
0.02,1.99,1.4833
0.02,2,1.4766
0.02,2.01,1.4698
0.02,2.02,1.4628
0.02,2.03,1.4557
0.02,2.04,1.4484
0.02,2.05,1.441
0.02,2.06,1.4334
0.02,2.07,1.4257
0.02,2.08,1.4179
0.02,2.09,1.4099
0.02,2.1,1.4018
0.02,2.11,1.3935
0.02,2.12,1.3851
0.02,2.13,1.3766
0.02,2.14,1.3679
0.02,2.15,1.3591
0.02,2.16,1.3501
0.02,2.17,1.341
0.02,2.18,1.3318
0.02,2.19,1.3224
0.02,2.2,1.3129
0.02,2.21,1.3033
0.02,2.22,1.2936
0.02,2.23,1.2837
0.02,2.24,1.2737
0.02,2.25,1.2635
0.02,2.26,1.2533
0.02,2.27,1.2429
0.02,2.28,1.2324
0.02,2.29,1.2217
0.02,2.3,1.211
0.02,2.31,1.2001
0.02,2.32,1.1891
0.02,2.33,1.178
0.02,2.34,1.1667
0.02,2.35,1.1554
0.02,2.36,1.1439
0.02,2.37,1.1323
0.02,2.38,1.1206
0.02,2.39,1.1088
0.02,2.4,1.0969
0.02,2.41,1.0849
0.02,2.42,1.0727
0.02,2.43,1.0605
0.02,2.44,1.0481
0.02,2.45,1.0357
0.02,2.46,1.0231
0.02,2.47,1.0105
0.02,2.48,0.99769
0.02,2.49,0.98483
0.02,2.5,0.97187
0.02,2.51,0.95881
0.02,2.52,0.94566
0.02,2.53,0.93241
0.02,2.54,0.91906
0.02,2.55,0.90563
0.02,2.56,0.89211
0.02,2.57,0.87849
0.02,2.58,0.86479
0.02,2.59,0.851
0.02,2.6,0.83713
0.02,2.61,0.82317
0.02,2.62,0.80913
0.02,2.63,0.79501
0.02,2.64,0.78082
0.02,2.65,0.76654
0.02,2.66,0.75218
0.02,2.67,0.73775
0.02,2.68,0.72325
0.02,2.69,0.70868
0.02,2.7,0.69403
0.02,2.71,0.67931
0.02,2.72,0.66453
0.02,2.73,0.64968
0.02,2.74,0.63476
0.02,2.75,0.61979
0.02,2.76,0.60474
0.02,2.77,0.58964
0.02,2.78,0.57448
0.02,2.79,0.55927
0.02,2.8,0.54399
0.02,2.81,0.52866
0.02,2.82,0.51328
0.02,2.83,0.49785
0.02,2.84,0.48237
0.02,2.85,0.46684
0.02,2.86,0.45126
0.02,2.87,0.43564
0.02,2.88,0.41998
0.02,2.89,0.40427
0.02,2.9,0.38852
0.02,2.91,0.37273
0.02,2.92,0.35691
0.02,2.93,0.34105
0.02,2.94,0.32516
0.02,2.95,0.30923
0.02,2.96,0.29327
0.02,2.97,0.27729
0.02,2.98,0.26127
0.02,2.99,0.24523
0.02,3,0.22917
0.02,3.01,0.21308
0.02,3.02,0.19697
0.02,3.03,0.18084
0.02,3.04,0.16469
0.02,3.05,0.14853
0.02,3.06,0.13235
0.02,3.07,0.11616
0.02,3.08,0.099958
0.02,3.09,0.083745
0.02,3.1,0.067523
0.02,3.11,0.051295
0.02,3.12,0.035062
0.02,3.13,0.018825
0.02,3.14,0.0025863
0.03,0,0
0.03,0.01,0.024356
0.03,0.02,0.04871
0.03,0.03,0.073059
0.03,0.04,0.097401
0.03,0.05,0.12173
0.03,0.06,0.14605
0.03,0.07,0.17036
0.03,0.08,0.19465
0.03,0.09,0.21891
0.03,0.1,0.24316
0.03,0.11,0.26738
0.03,0.12,0.29158
0.03,0.13,0.31575
0.03,0.14,0.33988
0.03,0.15,0.36398
0.03,0.16,0.38805
0.03,0.17,0.41207
0.03,0.18,0.43606
0.03,0.19,0.46
0.03,0.2,0.48389
0.03,0.21,0.50774
0.03,0.22,0.53154
0.03,0.23,0.55528
0.03,0.24,0.57897
0.03,0.25,0.60259
0.03,0.26,0.62616
0.03,0.27,0.64967
0.03,0.28,0.67311
0.03,0.29,0.69649
0.03,0.3,0.71979
0.03,0.31,0.74302
0.03,0.32,0.76618
0.03,0.33,0.78926
0.03,0.34,0.81226
0.03,0.35,0.83519
0.03,0.36,0.85802
0.03,0.37,0.88078
0.03,0.38,0.90344
0.03,0.39,0.92601
0.03,0.4,0.94849
0.03,0.41,0.97088
0.03,0.42,0.99317
0.03,0.43,1.0154
0.03,0.44,1.0374
0.03,0.45,1.0594
0.03,0.46,1.0813
0.03,0.47,1.1031
0.03,0.48,1.1247
0.03,0.49,1.1463
0.03,0.5,1.1677
0.03,0.51,1.189
0.03,0.52,1.2102
0.03,0.53,1.2313
0.03,0.54,1.2523
0.03,0.55,1.2731
0.03,0.56,1.2938
0.03,0.57,1.3144
0.03,0.58,1.3348
0.03,0.59,1.3551
0.03,0.6,1.3753
0.03,0.61,1.3953
0.03,0.62,1.4152
0.03,0.63,1.435
0.03,0.64,1.4546
0.03,0.65,1.474
0.03,0.66,1.4934
0.03,0.67,1.5125
0.03,0.68,1.5315
0.03,0.69,1.5504
0.03,0.7,1.5691
0.03,0.71,1.5877
0.03,0.72,1.606
0.03,0.73,1.6243
0.03,0.74,1.6423
0.03,0.75,1.6602
0.03,0.76,1.678
0.03,0.77,1.6956
0.03,0.78,1.713
0.03,0.79,1.7302
0.03,0.8,1.7472
0.03,0.81,1.7641
0.03,0.82,1.7808
0.03,0.83,1.7974
0.03,0.84,1.8137
0.03,0.85,1.8299
0.03,0.86,1.8459
0.03,0.87,1.8617
0.03,0.88,1.8773
0.03,0.89,1.8927
0.03,0.9,1.9079
0.03,0.91,1.923
0.03,0.92,1.9378
0.03,0.93,1.9525
0.03,0.94,1.9669
0.03,0.95,1.9812
0.03,0.96,1.9953
0.03,0.97,2.0091
0.03,0.98,2.0228
0.03,0.99,2.0363
0.03,1,2.0495
0.03,1.01,2.0626
0.03,1.02,2.0755
0.03,1.03,2.0881
0.03,1.04,2.1005
0.03,1.05,2.1128
0.03,1.06,2.1248
0.03,1.07,2.1366
0.03,1.08,2.1482
0.03,1.09,2.1595
0.03,1.1,2.1707
0.03,1.11,2.1816
0.03,1.12,2.1923
0.03,1.13,2.2028
0.03,1.14,2.2131
0.03,1.15,2.2232
0.03,1.16,2.233
0.03,1.17,2.2426
0.03,1.18,2.252
0.03,1.19,2.2612
0.03,1.2,2.2701
0.03,1.21,2.2789
0.03,1.22,2.2873
0.03,1.23,2.2956
0.03,1.24,2.3036
0.03,1.25,2.3114
0.03,1.26,2.319
0.03,1.27,2.3263
0.03,1.28,2.3334
0.03,1.29,2.3403
0.03,1.3,2.3469
0.03,1.31,2.3533
0.03,1.32,2.3595
0.03,1.33,2.3654
0.03,1.34,2.3711
0.03,1.35,2.3765
0.03,1.36,2.3818
0.03,1.37,2.3867
0.03,1.38,2.3915
0.03,1.39,2.396
0.03,1.4,2.4002
0.03,1.41,2.4042
0.03,1.42,2.408
0.03,1.43,2.4116
0.03,1.44,2.4149
0.03,1.45,2.4179
0.03,1.46,2.4207
0.03,1.47,2.4233
0.03,1.48,2.4256
0.03,1.49,2.4277
0.03,1.5,2.4296
0.03,1.51,2.4312
0.03,1.52,2.4325
0.03,1.53,2.4336
0.03,1.54,2.4345
0.03,1.55,2.4351
0.03,1.56,2.4355
0.03,1.57,2.4357
0.03,1.58,2.4356
0.03,1.59,2.4352
0.03,1.6,2.4346
0.03,1.61,2.4338
0.03,1.62,2.4327
0.03,1.63,2.4314
0.03,1.64,2.4298
0.03,1.65,2.428
0.03,1.66,2.426
0.03,1.67,2.4237
0.03,1.68,2.4212
0.03,1.69,2.4184
0.03,1.7,2.4154
0.03,1.71,2.4121
0.03,1.72,2.4086
0.03,1.73,2.4049
0.03,1.74,2.4009
0.03,1.75,2.3967
0.03,1.76,2.3922
0.03,1.77,2.3875
0.03,1.78,2.3826
0.03,1.79,2.3774
0.03,1.8,2.372
0.03,1.81,2.3663
0.03,1.82,2.3604
0.03,1.83,2.3543
0.03,1.84,2.3479
0.03,1.85,2.3413
0.03,1.86,2.3345
0.03,1.87,2.3275
0.03,1.88,2.3202
0.03,1.89,2.3126
0.03,1.9,2.3049
0.03,1.91,2.2969
0.03,1.92,2.2887
0.03,1.93,2.2802
0.03,1.94,2.2715
0.03,1.95,2.2626
0.03,1.96,2.2535
0.03,1.97,2.2442
0.03,1.98,2.2346
0.03,1.99,2.2248
0.03,2,2.2147
0.03,2.01,2.2045
0.03,2.02,2.194
0.03,2.03,2.1833
0.03,2.04,2.1724
0.03,2.05,2.1613
0.03,2.06,2.15
0.03,2.07,2.1384
0.03,2.08,2.1267
0.03,2.09,2.1147
0.03,2.1,2.1025
0.03,2.11,2.0901
0.03,2.12,2.0775
0.03,2.13,2.0647
0.03,2.14,2.0516
0.03,2.15,2.0384
0.03,2.16,2.025
0.03,2.17,2.0113
0.03,2.18,1.9975
0.03,2.19,1.9835
0.03,2.2,1.9692
0.03,2.21,1.9548
0.03,2.22,1.9402
0.03,2.23,1.9253
0.03,2.24,1.9103
0.03,2.25,1.8951
0.03,2.26,1.8797
0.03,2.27,1.8642
0.03,2.28,1.8484
0.03,2.29,1.8324
0.03,2.3,1.8163
0.03,2.31,1.8
0.03,2.32,1.7835
0.03,2.33,1.7668
0.03,2.34,1.7499
0.03,2.35,1.7329
0.03,2.36,1.7157
0.03,2.37,1.6983
0.03,2.38,1.6808
0.03,2.39,1.6631
0.03,2.4,1.6452
0.03,2.41,1.6272
0.03,2.42,1.609
0.03,2.43,1.5906
0.03,2.44,1.5721
0.03,2.45,1.5534
0.03,2.46,1.5345
0.03,2.47,1.5156
0.03,2.48,1.4964
0.03,2.49,1.4771
0.03,2.5,1.4577
0.03,2.51,1.4381
0.03,2.52,1.4184
0.03,2.53,1.3985
